candidate,lat,lon,sector,share
Butendiek,55.02,7.77,SE,0.1228813559322034
Butendiek,55.02,7.77,S,0.12146892655367232
Butendiek,55.02,7.77,SW,0.19491525423728814
Butendiek,55.02,7.77,W,0.2803672316384181
Butendiek,55.02,7.77,NW,0.16807909604519775
Dan Tysk,55.14,7.2,N,0.06002824858757062
Dan Tysk,55.14,7.2,NE,0.022598870056497175
Dan Tysk,55.14,7.2,E,0.03884180790960452
Dan Tysk,55.14,7.2,SE,0.08898305084745763
Dan Tysk,55.14,7.2,S,0.13983050847457626
Dan Tysk,55.14,7.2,SW,0.19491525423728814
Dan Tysk,55.14,7.2,W,0.2944915254237288
Dan Tysk,55.14,7.2,NW,0.16031073446327684
Sandbank,55.2,6.85,N,0.05367231638418079
Sandbank,55.2,6.85,NE,0.026836158192090395
Sandbank,55.2,6.85,E,0.03531073446327684
Sandbank,55.2,6.85,SE,0.08545197740112995
Sandbank,55.2,6.85,S,0.14124293785310735
Sandbank,55.2,6.85,SW,0.1864406779661017
Sandbank,55.2,6.85,W,0.3057909604519774
Sandbank,55.2,6.85,NW,0.1652542372881356
Horns Rev I,55.5,7.82,N,0.06317204301075269
Horns Rev I,55.5,7.82,NE,0.0456989247311828
Horns Rev I,55.5,7.82,E,0.09946236559139784
Horns Rev I,55.5,7.82,SE,0.05779569892473118
Horns Rev I,55.5,7.82,S,0.07258064516129033
Horns Rev I,55.5,7.82,SW,0.22446236559139784
Horns Rev I,55.5,7.82,W,0.21774193548387097
Horns Rev I,55.5,7.82,NW,0.21908602150537634
Horns Rev II,55.61,7.61,N,0.05510752688172043
Horns Rev II,55.61,7.61,NE,0.05510752688172043
Horns Rev II,55.61,7.61,E,0.07258064516129033
Horns Rev II,55.61,7.61,SE,0.07526881720430108
Horns Rev II,55.61,7.61,S,0.08602150537634409
Horns Rev II,55.61,7.61,SW,0.22580645161290322
Horns Rev II,55.61,7.61,W,0.21236559139784947
Horns Rev II,55.61,7.61,NW,0.21774193548387097
